AnonID	Query	QueryTime	ItemRank	ClickURL
479	citation machine	2006-04-24 20:40:22	1	http://citationmachine.net
479	6 6 06	2006-04-28 22:19:18		
479	the signs are all around you	2006-04-28 22:19:48		
479	the signs are all around you 6 6 06	2006-04-28 22:22:11	1	http://vnboards.ign.com
479	comcast sports net chicago	2006-04-28 23:31:52	1	http://chicago.comcastsportsnet.com
479	xm radio	2006-05-02 00:26:12	1	http://www.xmradio.com
479	cranial nerves	2006-05-05 01:37:39	5	http://staff.washington.edu
479	cranial nerves	2006-05-05 01:37:39	7	http://www.meddean.luc.edu
479	cranial nerves	2006-05-05 01:37:39	3	http://www.gwc.maricopa.edu
479	eye muscles	2006-05-05 01:41:22	4	http://www.patient.co.uk
479	eye muscles	2006-05-05 01:41:22	2	http://cim.ucdavis.edu
479	underworld evolution	2006-05-05 09:49:06	2	http://www.sonypictures.com
479	underworld evolution	2006-05-05 09:49:06	3	http://www.imdb.com
479	mvp baseball 2007	2006-05-08 20:02:48		
479	mvp baseball 2006	2006-05-08 20:13:19	10	http://forums.ea.com
479	game stop	2006-05-08 20:26:28	1	http://www.gamestop.com
479	dictionary	2006-05-10 01:11:23		
479	nokia tracfone	2006-05-10 23:25:11		
479	desktop wallpaper	2006-05-15 14:47:08	3	http://www.desktopwallpapers.net
479	kant theory of knowledge	2006-05-15 20:06:15	3	http://www.oxfordscholarship.com
479	kant theory of knowledge	2006-05-15 20:06:15	5	http://www.historyguide.org
479	kant theory of knowledge	2006-05-15 20:06:15	4	http://www.coursework.info
479	kant theory of knowledge	2006-05-15 20:06:15	6	http://www.psupress.psu.edu
479	kant theory of knowledge	2006-05-15 20:06:15	7	http://wn.rsarchive.org
479	kant theory of knowledge	2006-05-15 20:06:15	10	http://www.philosophypathways.com
479	kant's copernican revolution	2006-05-15 20:11:13	1	http://www.age-of-the-sage.org
479	kant's copernican revolution	2006-05-15 20:11:13	5	http://instruct.westvalley.edu
479	existence precedes essence	2006-05-15 20:31:02	2	http://atheism.about.com
479	existence precedes essence	2006-05-15 20:31:02	3	http://www.anselm.edu
479	sartre man surrounded by absurdity	2006-05-15 20:34:07	1	http://www.unchristianlikebehavior.com
479	sartre man surrounded by absurdity	2006-05-15 20:34:07	2	http://www.geocities.com
479	ozzfest 2006	2006-05-26 00:36:58	1	http://www.ozzfest.com
479	nip tuck	2006-05-28 00:36:04		
479	nip tuck	2006-05-28 00:44:58	4	http://www.niptuck.com
479	nip tuck season 4	2006-05-28 00:47:05		
479	nip tuck season 3 dvd	2006-05-28 00:47:48	7	http://en.wikipedia.org
479	nip tuck season 3 dvd	2006-05-28 00:47:48	9	http://www.dvdtimes.co.uk
479	nip tuck season 3 dvd	2006-05-28 00:47:48	1	http://www.amazon.co.uk
507	kbb.com	2006-03-01 16:45:19	1	http://www.kbb.com
507	kbb.com	2006-03-01 16:55:46	1	http://www.kbb.com
507	autotrader	2006-03-02 14:48:05		
507	ebay	2006-03-05 10:50:35		
507	ebay	2006-03-05 10:50:52		
507	ebay	2006-03-05 10:51:24		
507	ebay	2006-03-05 10:52:04		
507	ebay	2006-03-05 10:52:36	69	http://antiques.ebay.com
507	ebay	2006-03-05 10:58:00		
507	ebay	2006-03-05 10:58:21		
507	ebay electronics	2006-03-05 10:59:26	5	http://www.internetretailer.com
507	ebay electronics	2006-03-05 11:00:21	20	http://www.amazon.com
